,party_id,user_id,attendance_status,created_at,ext,invitation_code,invitee_ids,role,updated_at
144,096744ce-439b-11ec-9c3d-5e10ae073e26,0b940da4-3fa4-11ec-ae44-e418f1ed08b7,left,2021-11-12 09:29:29.848,,a7f84094,,host,2021-11-12 09:29:32.686
145,9551b2a8-437d-11ec-92ea-9410364e490a,86cf42e0-3e19-11ec-8ca4-e0c4d5ea46e8,left,2021-11-12 05:58:39.685,,f658374c,,host,2021-11-12 05:58:47.051
146,3c5b5d76-5cf9-11ec-ad39-9215956ca585,0b940da4-3fa4-11ec-ae44-e418f1ed08b7,left,2021-12-14 16:16:47.094,{'can_speak': 'accepted'},997bb712,,host,2021-12-14 16:16:47.095
147,81f13664-3709-11ec-b873-eedd329acacc,4b96e0f6-323f-11ec-b1ea-94bbbdaee87f,left,2021-10-27 10:12:30.242,,eb690b46,,guest,2021-10-27 10:12:48.879
148,13ac71f6-5daa-11ec-a727-4b12873be803,eff78ff4-324b-11ec-8a7a-9284af838714,,2021-12-15 13:23:21.818,,0c787fe2,,guest,2021-12-15 13:23:21.818
149,13ac71f6-5daa-11ec-a727-4b12873be803,07bb7218-3e1d-11ec-807f-e967a48dff68,left,2021-12-15 13:22:39.757,,fd19db85,"SortedSet([UUID('b5087784-5da5-11ec-84f0-4b8ba580e745'), UUID('eff78ff4-324b-11ec-8a7a-9284af838714')])",host,2021-12-15 13:23:21.815
150,13ac71f6-5daa-11ec-a727-4b12873be803,b5087784-5da5-11ec-84f0-4b8ba580e745,,2021-12-15 13:23:04.924,,47992b61,,guest,2021-12-15 13:23:04.924
151,fba52cde-5c77-11ec-91db-361470e8acfc,90034450-5c6f-11ec-a950-2f7e07c0327c,left,2021-12-14 00:51:33.447,,6620002f,,host,2021-12-14 01:14:29.279
152,a03b01e0-356f-11ec-8f3d-ca1d8b11d726,4b96e0f6-323f-11ec-b1ea-94bbbdaee87f,left,2021-10-25 08:43:28.757,,4a08df95,SortedSet([UUID('1511e6ea-3238-11ec-baed-db9564ba7148')]),host,2021-10-25 08:45:16.763
153,104928f4-51db-11ec-99fe-45bb16661bcf,07bb7218-3e1d-11ec-807f-e967a48dff68,left,2021-11-30 12:43:05.459,,78364f45,,host,2021-11-30 12:52:04.654
154,305ed78e-3312-11ec-bed2-9a010fca4d91,4b96e0f6-323f-11ec-b1ea-94bbbdaee87f,left,2021-10-22 08:29:35.571,,099c9ab6,,host,2021-10-22 08:54:43.845
155,305ed78e-3312-11ec-bed2-9a010fca4d91,a458b4c8-3288-11ec-a33c-e474f52b8cb5,,2021-10-22 08:36:17.502,,040b7d9f,,guest,
156,305ed78e-3312-11ec-bed2-9a010fca4d91,0acdc93c-3289-11ec-8288-37b3a133648b,,2021-10-22 08:31:05.637,,62a8e693,,guest,
157,305ed78e-3312-11ec-bed2-9a010fca4d91,ade92c2c-3312-11ec-a32c-45e028c81697,,2021-10-22 08:33:08.416,,2458713e,,guest,
158,595aca90-5cfb-11ec-94d8-56fe1a29bab3,86cf42e0-3e19-11ec-8ca4-e0c4d5ea46e8,left,2021-12-14 16:31:54.735,{'can_speak': 'accepted'},bcad6c4a,,host,2021-12-14 16:31:54.735
159,60ca54be-5dfd-11ec-9228-bd67488c69b7,5e64bb62-4be0-11ec-aad5-eccb9bc4f187,left,2021-12-15 23:18:57.371,{'can_speak': 'accepted'},7f072630,,host,2021-12-15 23:18:57.371
160,6335ecdc-4c9a-11ec-8668-b349c3a61191,26b303f2-4bd3-11ec-87c1-e517be6df39b,left,2021-11-23 20:17:31.482,,3bda0fe2,,host,2021-11-23 20:45:47.205
161,bbe614ae-331a-11ec-b92a-9a010fca4d91,3d918522-3313-11ec-8329-feef32fc5b19,left,2021-10-22 09:30:45.626,,c004ff94,,host,2021-11-05 02:56:50.960
162,057ba6f0-51d0-11ec-bd49-be416988cc2b,e340d9c6-4364-11ec-a444-e734332dc01d,left,2021-11-30 11:25:33.358,,a1b44a35,,guest,2021-11-30 11:30:22.768
163,057ba6f0-51d0-11ec-bd49-be416988cc2b,26a04a38-4367-11ec-af61-e464f5f6361c,left,2021-11-30 11:24:02.877,,0e1d0300,SortedSet([UUID('e340d9c6-4364-11ec-a444-e734332dc01d')]),host,2021-11-30 11:24:22.269
164,25fa22aa-5cfa-11ec-ac81-f5821b59ccb4,86cf42e0-3e19-11ec-8ca4-e0c4d5ea46e8,left,2021-12-14 16:23:19.042,{'can_speak': 'accepted'},a1064bde,,host,2021-12-14 16:23:19.042
165,c777b61a-5651-11ec-ab98-fe61e7c4e64e,26a04a38-4367-11ec-af61-e464f5f6361c,,2021-12-06 05:02:58.054,,4d0f9572,,host,
166,55263082-4f30-11ec-8f64-a706bf30af1e,7e1a8aca-4bdd-11ec-91be-37ccbb55fab5,left,2021-11-27 03:15:54.730,,15dbbaa7,,host,2021-11-27 03:16:48.271
167,ab5cd1b0-3566-11ec-b873-eedd329acacc,fcd85ac4-354c-11ec-8a67-a069389d8a76,left,2021-10-25 07:39:21.964,,0f7b7d35,"SortedSet([UUID('3d918522-3313-11ec-8329-feef32fc5b19'), UUID('4b96e0f6-323f-11ec-b1ea-94bbbdaee87f')])",host,2021-10-25 07:39:56.068
168,a7c5d30a-4cb6-11ec-a3d8-d8db896962ac,a2380034-4be4-11ec-8a8a-f97b5077e4e7,left,2021-11-23 23:39:52.423,,e5a9e216,,host,2021-11-23 23:39:55.403
169,60eb4896-43a3-11ec-96f3-f9784efccae9,2350f594-3287-11ec-9bc4-d0dbea1a278a,left,2021-11-12 10:44:08.117,,d95eb461,,guest,2021-11-12 10:51:08.346
170,60eb4896-43a3-11ec-96f3-f9784efccae9,3d918522-3313-11ec-8329-feef32fc5b19,left,2021-11-12 10:29:12.647,,d52753dc,"SortedSet([UUID('2350f594-3287-11ec-9bc4-d0dbea1a278a'), UUID('26a04a38-4367-11ec-af61-e464f5f6361c'), UUID('69881ffa-3e22-11ec-a810-ddc3ee85e7df')])",host,2021-11-12 10:29:17.958
171,60eb4896-43a3-11ec-96f3-f9784efccae9,69881ffa-3e22-11ec-a810-ddc3ee85e7df,left,2021-11-12 10:37:13.999,,384798cd,,guest,2021-11-12 10:51:15.770
172,60eb4896-43a3-11ec-96f3-f9784efccae9,26a04a38-4367-11ec-af61-e464f5f6361c,left,2021-11-12 10:49:24.232,,a6663100,,guest,2021-11-15 17:03:35.764
173,7805bad2-328e-11ec-bed2-9a010fca4d91,4b96e0f6-323f-11ec-b1ea-94bbbdaee87f,left,2021-10-21 16:46:42.207,,e67ae6a8,,host,2021-10-21 16:46:53.851
174,25e04270-5e4b-11ec-a0d7-40016e3dab25,f3e85cce-3e17-11ec-af04-0cc96973a2b9,,2021-12-16 08:35:39.269,{'can_speak': 'accepted'},edf6d8a6,,host,2021-12-16 08:35:39.269
175,38e19abc-4ef2-11ec-906b-df9559011e5d,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3,left,2021-11-26 19:51:18.504,,8ccc1397,,host,2021-11-27 18:32:29.864
176,036cbae4-4211-11ec-869b-f9287ca91167,086c0164-3e09-11ec-af1c-166bc3c05ee1,left,2021-11-10 10:28:58.104,,8d08e1b9,,host,2021-11-30 08:08:37.968
177,c0642e62-5e0d-11ec-9091-b27601fc3499,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3,left,2021-12-16 01:16:09.709,,29ba2f9a,SortedSet([UUID('3a7f5ff0-5e0e-11ec-8f70-5154311525be')]),host,2021-12-16 01:19:35.539
178,c0642e62-5e0d-11ec-9091-b27601fc3499,3a7f5ff0-5e0e-11ec-8f70-5154311525be,left,2021-12-16 01:19:35.543,,ac3ef8e0,,guest,2021-12-16 01:19:55.946
179,4bd6ba48-5c7c-11ec-91bd-6dedb7df66c2,7d9d3ec8-5c75-11ec-a24c-d033ab82072a,left,2021-12-14 01:22:25.976,,dcf73f09,,host,2021-12-15 02:11:59.013
180,3865ec62-3fa4-11ec-aa51-0ed1735cda86,0b940da4-3fa4-11ec-ae44-e418f1ed08b7,left,2021-11-07 08:25:09.508,,4d5c9e90,,host,2021-11-07 08:25:13.830
181,245f8a20-51ce-11ec-8f2c-0b7299b17238,e340d9c6-4364-11ec-a444-e734332dc01d,left,2021-11-30 11:10:35.703,,808f3590,SortedSet([UUID('26a04a38-4367-11ec-af61-e464f5f6361c')]),host,2021-11-30 11:10:39.335
182,245f8a20-51ce-11ec-8f2c-0b7299b17238,26a04a38-4367-11ec-af61-e464f5f6361c,left,2021-11-30 11:11:19.473,,168d94c5,,guest,2021-11-30 11:11:25.485
183,e50cec8a-53eb-11ec-a684-6e2a16d85f82,eff78ff4-324b-11ec-8a7a-9284af838714,,2021-12-15 04:18:49.412,,0d0f29b9,,guest,2021-12-15 04:18:49.412
184,e50cec8a-53eb-11ec-a684-6e2a16d85f82,07bb7218-3e1d-11ec-807f-e967a48dff68,left,2021-12-03 03:48:36.696,,4d1a05e3,,host,2021-12-15 04:19:49.100
185,7cbf43ca-4d61-11ec-8410-9033d619910c,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3,left,2021-11-24 20:02:44.177,,f636a63c,SortedSet([UUID('5e64bb62-4be0-11ec-aad5-eccb9bc4f187')]),host,2021-11-24 20:03:01.626
