,playlist_id,scheduled_until,start_at,updated_at
34,e890f158-4077-11ec-aa51-0ed1735cda86,2021-11-08 10:00:24.147,2021-11-08 09:59:41.922,2021-11-08 10:00:24.147
35,10fcf54a-4629-11ec-9500-c687132219c8,2021-11-15 15:36:26.489,2021-11-15 15:31:28.670,2021-11-15 15:36:26.489
36,8ae0120c-3314-11ec-bed2-9a010fca4d91,2021-10-22 08:53:38.010,2021-10-22 08:49:50.838,2021-10-22 08:53:38.010
37,2a357820-4098-11ec-9c34-ce86246e7cee,2021-11-08 14:00:55.142,2021-11-08 13:31:41.422,2021-11-08 14:00:55.142
38,4c5a289c-4e44-11ec-9500-c687132219c8,2021-11-25 23:08:21.502,2021-11-25 23:06:33.036,2021-11-25 23:08:21.502
39,606feb06-43a3-11ec-ba2f-c2804d2a32b1,2021-11-23 09:16:23.726,2021-11-12 10:29:17.974,2021-11-23 09:16:23.726
40,62b158a0-4c9a-11ec-ba2f-c2804d2a32b1,2021-11-23 22:20:36.150,2021-11-23 20:45:47.226,2021-11-23 22:20:36.150
41,b8b744ac-4147-11ec-9500-c687132219c8,2021-11-09 10:37:52.969,2021-11-09 10:28:18.851,2021-11-09 10:37:52.969
42,51b33858-4d61-11ec-89a8-d22bdb8453e3,2021-11-24 22:19:12.841,2021-11-24 20:01:58.205,2021-11-24 22:19:12.841
43,707d0276-4d90-11ec-89a8-d22bdb8453e3,2021-11-25 02:01:41.009,2021-11-25 01:38:57.973,2021-11-25 02:01:41.009
44,7f0db292-4d84-11ec-ba2f-c2804d2a32b1,2021-11-25 00:20:45.482,2021-11-25 00:13:22.823,2021-11-25 00:20:45.482
45,bb5ed836-331a-11ec-bed2-9a010fca4d91,2021-11-05 03:00:27.598,2021-11-05 02:56:50.974,2021-11-05 03:00:27.598
46,168f318e-3257-11ec-9992-5adc50ad8e5b,2021-10-21 10:15:12.033,2021-10-21 10:10:59.708,2021-10-21 10:15:12.033
47,89c7e87e-3709-11ec-b873-eedd329acacc,2021-10-27 10:11:27.744,2021-10-27 10:09:43.343,2021-10-27 10:11:27.744
48,d2adcbf0-4cbf-11ec-acc9-9a58024cb2de,2021-11-24 01:31:25.667,2021-11-24 00:45:38.960,2021-11-24 01:31:25.667
49,2d947bfc-4632-11ec-8a48-c2804d2a32b1,2021-11-15 16:38:38.054,2021-11-15 16:36:30.254,2021-11-15 16:38:38.054
50,f74f1a40-4d82-11ec-bd2e-d22bdb8453e3,2021-11-25 00:04:05.654,2021-11-25 00:02:27.483,2021-11-25 00:04:05.654
51,981311cc-51dc-11ec-8d10-86e2d68480b1,2021-11-30 13:00:39.529,2021-11-30 12:54:32.104,2021-11-30 13:00:39.529
52,7d2195ae-4c92-11ec-ba2f-c2804d2a32b1,2021-11-23 19:23:30.746,2021-11-23 19:21:30.801,2021-11-23 19:23:30.746
53,fe7cfa82-3e1c-11ec-8b21-26857fb5220e,2021-11-08 07:49:44.536,2021-11-08 07:32:50.701,2021-11-08 07:49:44.536
