,conversation_id,id,content,conversation_type,created_at,edited,files,message_type,updated_at,user_id
103,305ed78e-3312-11ec-bed2-9a010fca4d91,9476073620268311,hi,party,2021-10-22 08:56:20.026,,,text,2021-10-22 08:56:20.026,3d918522-3313-11ec-8329-feef32fc5b19
104,305ed78e-3312-11ec-bed2-9a010fca4d91,9476046910940439,luck,party,2021-10-22 08:56:04.108,,,text,2021-10-22 08:56:04.108,98c86e0a-324c-11ec-a204-9da21b625b1f
105,305ed78e-3312-11ec-bed2-9a010fca4d91,9476038438446359,em thấy hết nhé,party,2021-10-22 08:55:59.057,,,text,2021-10-22 08:55:59.057,4b96e0f6-323f-11ec-b1ea-94bbbdaee87f
106,305ed78e-3312-11ec-bed2-9a010fca4d91,9476037062714647,hi,party,2021-10-22 08:55:58.239,,,text,2021-10-22 08:55:58.239,3d918522-3313-11ec-8329-feef32fc5b19
107,305ed78e-3312-11ec-bed2-9a010fca4d91,9476033086514455,hi,party,2021-10-22 08:55:55.861,,,text,2021-10-22 08:55:55.861,3d918522-3313-11ec-8329-feef32fc5b19
108,305ed78e-3312-11ec-bed2-9a010fca4d91,9476031308129559,hello chị Mai,party,2021-10-22 08:55:54.802,,,text,2021-10-22 08:55:54.802,4b96e0f6-323f-11ec-b1ea-94bbbdaee87f
109,305ed78e-3312-11ec-bed2-9a010fca4d91,9476027348706583,hi,party,2021-10-22 08:55:52.448,,,text,2021-10-22 08:55:52.448,3d918522-3313-11ec-8329-feef32fc5b19
110,305ed78e-3312-11ec-bed2-9a010fca4d91,9476023087293719,mai,party,2021-10-22 08:55:49.909,,,text,2021-10-22 08:55:49.909,98c86e0a-324c-11ec-a204-9da21b625b1f
111,bbe614ae-331a-11ec-b92a-9a010fca4d91,11469490264998300,a,party,2021-11-05 02:59:09.020,,,text,2021-11-05 02:59:09.020,3d918522-3313-11ec-8329-feef32fc5b19
112,ab5cd1b0-3566-11ec-b873-eedd329acacc,9909112238244190,hí,party,2021-10-25 08:38:11.240,,,text,2021-10-25 08:38:11.240,3d918522-3313-11ec-8329-feef32fc5b19
113,7cbf43ca-4d61-11ec-8410-9033d619910c,14327696293127467,Wow,party,2021-11-24 20:12:52.480,,,text,2021-11-24 20:12:52.480,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3
114,7cbf43ca-4d61-11ec-8410-9033d619910c,14327038693369340,Estúpido,party,2021-11-24 20:06:20.521,,,text,2021-11-24 20:06:20.521,5e64bb62-4be0-11ec-aad5-eccb9bc4f187
115,7cbf43ca-4d61-11ec-8410-9033d619910c,14326989536100644,🧜🏿‍♂️,party,2021-11-24 20:05:51.229,,,text,2021-11-24 20:05:51.229,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3
116,7cbf43ca-4d61-11ec-8410-9033d619910c,14326970678535676,👶,party,2021-11-24 20:05:39.981,,,text,2021-11-24 20:05:39.981,5e64bb62-4be0-11ec-aad5-eccb9bc4f187
117,7cbf43ca-4d61-11ec-8410-9033d619910c,14326927376515364,👶🏽,party,2021-11-24 20:05:14.178,,,text,2021-11-24 20:05:14.178,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3
118,7cbf43ca-4d61-11ec-8410-9033d619910c,14326901673846059,👹,party,2021-11-24 20:04:58.859,,,text,2021-11-24 20:04:58.859,5e64bb62-4be0-11ec-aad5-eccb9bc4f187
119,7cbf43ca-4d61-11ec-8410-9033d619910c,14326895164260767,🐐,party,2021-11-24 20:04:54.978,,,text,2021-11-24 20:04:54.978,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3
120,7cbf43ca-4d61-11ec-8410-9033d619910c,14326884326204924,💀,party,2021-11-24 20:04:48.516,,,text,2021-11-24 20:04:48.516,5e64bb62-4be0-11ec-aad5-eccb9bc4f187
121,7cbf43ca-4d61-11ec-8410-9033d619910c,14326878756143396,What’s the move today,party,2021-11-24 20:04:45.193,,,text,2021-11-24 20:04:45.193,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3
122,7cbf43ca-4d61-11ec-8410-9033d619910c,14326863690203428,🧢🧢🧢wyd,party,2021-11-24 20:04:36.215,,,text,2021-11-24 20:04:36.215,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3
123,7cbf43ca-4d61-11ec-8410-9033d619910c,14326845017187836,Heyy,party,2021-11-24 20:04:25.088,,,text,2021-11-24 20:04:25.088,5e64bb62-4be0-11ec-aad5-eccb9bc4f187
124,7cbf43ca-4d61-11ec-8410-9033d619910c,14326840135017771,Hey,party,2021-11-24 20:04:22.175,,,text,2021-11-24 20:04:22.175,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3
125,c721d5d8-4049-11ec-ad47-a273009342b9,12080759003178380,Sas,party,2021-11-09 08:11:33.498,,,text,2021-11-09 08:11:33.498,086c0164-3e09-11ec-af1c-166bc3c05ee1
